StudentID,University,Major,RegisteredDate,GraduationDate,Logins,ProfileCompleted,ResumeUploads,ApplicationsSubmitted,CareerFairAttendance,WorkshopAttendance,InfoSessionAttendance,ResumeWorkshopAttended,InterviewInvites,ShortlistedCount,InternshipPlacement,InternshipEmployer,InternshipStartDate,FullTimePlacement,FullTimeEmployer,FullTimePlacementDate,DaysToFullTimeJob,Applications_Tech,Applications_Finance,Applications_Healthcare,Applications_Education,Applications_Manufacturing
S00011,Ohio State,Computer Science,2024-04-13,2027-10-24,139,1,5,36,4,5,2,1,8,5,1,JPMorgan Chase,2027-05-16,1,Amazon,2028-05-27,216.0,5,8,8,5,4
S00012,Georgia Tech,Computer Science,2024-12-29,2028-04-14,143,1,5,46,3,3,2,1,5,2,1,Johnson & Johnson,2027-11-08,1,EY,2028-06-19,66.0,9,10,9,5,8
S00013,UCSD,Computer Science,2024-06-24,2028-03-23,140,1,4,29,2,5,3,1,4,1,0,,,1,Amazon,2028-08-25,155.0,11,8,3,8,7
S00014,Florida,Computer Science,2025-01-23,2028-06-09,135,1,3,40,4,3,2,1,4,1,1,Apple,2027-10-21,1,Cisco,2028-12-22,196.0,7,4,4,4,7
S00015,Arizona State U.,Computer Science,2024-08-22,2027-09-07,156,1,1,25,2,5,1,1,7,2,1,Goldman Sachs,2027-03-21,1,Microsoft,2028-02-21,167.0,6,8,4,4,9
S00016,Ohio State,Computer Science,2025-08-03,2029-01-10,151,1,2,30,3,2,1,1,7,6,1,Pfizer,2028-08-19,1,Goldman Sachs,2029-10-22,285.0,5,8,5,12,8
S00017,UCSD,Computer Science,2025-04-14,2028-06-25,157,1,7,37,3,5,2,1,8,3,1,Amazon,2028-01-20,0,,,,15,4,1,8,11
S00018,Ohio State,Computer Science,2025-07-28,2029-04-28,137,1,2,28,4,4,3,1,7,2,1,Johnson & Johnson,2028-11-22,1,General Electric,2030-01-02,249.0,9,5,14,8,8
S00019,Purdue,Computer Science,2025-02-12,2028-08-15,142,0,4,26,5,3,3,1,7,3,1,Amazon,2028-03-22,1,JPMorgan Chase,2029-06-01,290.0,7,5,8,9,6
S00020,UCLA,Computer Science,2024-02-18,2027-04-14,155,1,5,42,3,2,2,1,5,4,1,Pfizer,2026-12-06,1,Intel,2027-08-03,111.0,5,3,7,5,4
S00021,UCSD,Computer Science,2025-03-08,2029-01-06,151,1,0,25,4,2,3,1,3,1,1,Goldman Sachs,2028-09-22,0,,,,8,8,6,11,6
S00022,NYU,Computer Science,2025-09-02,2029-04-28,144,0,0,43,5,5,2,1,11,5,0,,,1,Meta,2030-02-22,300.0,8,7,5,8,7
S00023,Penn State,Computer Science,2024-01-12,2027-12-25,166,1,1,35,5,3,2,1,4,0,1,Pfizer,2027-08-28,0,,,,5,7,10,10,15
S00024,Penn State,Computer Science,2024-09-30,2028-08-23,151,1,3,34,2,1,2,1,4,2,1,Microsoft,2028-02-28,1,Goldman Sachs,2029-02-19,180.0,4,8,5,6,7
S00025,UT Austin,Computer Science,2025-04-09,2028-04-09,137,1,2,36,4,4,2,1,7,3,1,Deloitte,2027-11-04,0,,,,8,7,5,10,5
S00026,UT Austin,Computer Science,2025-06-03,2028-07-26,168,1,2,35,5,2,3,1,11,8,1,Cisco,2028-02-11,0,,,,5,11,8,6,10
S00027,UCSD,Computer Science,2025-06-03,2029-04-09,163,1,4,33,3,5,2,1,9,6,1,Amazon,2028-11-20,1,Intel,2029-11-16,221.0,5,6,5,6,4
S00028,UT Austin,Computer Science,2025-07-06,2029-04-02,154,1,2,43,4,2,1,1,4,2,1,EY,2029-01-02,1,JPMorgan Chase,2029-10-14,195.0,5,9,7,9,9
S00029,Arizona State U.,Computer Science,2024-04-24,2027-10-26,159,1,0,25,3,5,1,1,6,4,1,Apple,2027-05-11,1,Apple,2027-12-24,59.0,7,9,8,7,12
S00030,Purdue,Computer Science,2024-03-21,2027-05-03,174,1,3,35,3,3,3,1,9,8,1,Cisco,2026-10-01,1,Intel,2027-07-07,65.0,8,3,6,10,3
S00031,Penn State,Computer Science,2024-05-08,2027-07-12,161,1,2,36,6,4,3,1,5,2,1,Deloitte,2026-12-13,1,Meta,2027-11-03,114.0,5,10,7,4,9
S00032,Penn State,Computer Science,2025-09-13,2029-04-16,129,1,3,37,5,4,3,1,4,3,0,,,1,General Electric,2029-09-01,138.0,6,5,6,8,5
S00033,Penn State,Computer Science,2025-12-07,2029-03-18,141,1,3,24,3,3,1,1,8,4,1,Goldman Sachs,2028-09-30,1,JPMorgan Chase,2029-10-25,221.0,4,11,5,12,10
S00034,Penn State,Computer Science,2025-04-07,2028-06-06,138,1,2,37,1,3,2,1,8,6,1,Apple,2028-01-05,1,Tesla,2028-08-07,62.0,10,9,4,10,6
S00035,Arizona State U.,Computer Science,2025-08-25,2029-06-03,155,1,2,31,5,4,1,1,10,6,1,EY,2029-01-06,1,Google,2029-10-23,142.0,7,9,3,8,5
S00036,UCLA,Computer Science,2025-12-25,2029-11-12,165,1,3,44,5,4,4,1,12,8,1,Apple,2029-07-30,1,General Electric,2030-01-15,64.0,8,3,7,1,2
S00037,Arizona State U.,Computer Science,2024-12-04,2028-01-09,144,1,4,37,4,0,2,0,3,2,1,Apple,2027-06-02,1,Pfizer,2028-06-29,172.0,7,3,6,4,6
S00038,Florida,Computer Science,2024-08-07,2028-05-09,170,1,3,36,5,3,2,1,4,2,1,Johnson & Johnson,2028-01-07,1,Apple,2029-02-05,272.0,13,8,4,6,8
S00039,Florida,Computer Science,2025-02-20,2028-05-27,150,1,0,28,4,5,2,1,11,6,1,Microsoft,2028-02-03,1,Tesla,2029-02-01,250.0,7,7,10,10,11
S00040,NYU,Computer Science,2025-02-24,2028-10-20,138,1,6,40,4,4,2,1,7,4,1,Pfizer,2028-07-09,1,Google,2029-01-08,80.0,6,6,10,4,7
S00041,NYU,Computer Science,2024-12-13,2028-02-06,128,1,1,24,3,2,3,1,9,4,1,Apple,2027-09-06,0,,,,7,8,5,4,2
S00042,Ohio State,Computer Science,2025-07-03,2029-02-16,159,1,3,34,3,3,2,1,6,4,1,Goldman Sachs,2028-10-14,1,Meta,2029-06-19,123.0,8,8,11,7,4
S00043,Florida,Computer Science,2024-09-12,2027-10-20,150,1,0,33,4,0,3,0,1,1,0,,,1,Intel,2028-07-02,256.0,7,4,5,9,4
S00044,Penn State,Computer Science,2024-04-10,2027-05-05,159,1,6,33,2,3,2,1,8,5,0,,,1,Microsoft,2027-06-11,37.0,5,8,6,7,10
S00045,Ohio State,Computer Science,2024-06-19,2028-01-13,138,1,6,39,5,4,2,1,3,2,0,,,1,JPMorgan Chase,2028-10-17,278.0,7,7,11,6,2
S00046,Ohio State,Computer Science,2025-02-14,2028-03-15,166,0,5,32,3,5,2,1,7,6,1,Goldman Sachs,2027-11-04,0,,,,11,4,5,2,11
S00047,Arizona State U.,Computer Science,2025-02-03,2028-06-17,145,1,5,36,4,2,2,1,3,1,1,Meta,2027-11-24,1,Johnson & Johnson,2029-02-18,246.0,14,10,5,9,8
S00048,Boston University,Computer Science,2025-07-23,2029-06-25,143,1,4,22,4,2,1,1,5,2,1,Amazon,2028-11-23,1,Meta,2029-10-30,127.0,8,7,7,6,6
S00049,Ohio State,Computer Science,2024-02-29,2027-12-21,130,1,2,51,5,4,1,1,9,4,1,Google,2027-05-07,1,Google,2028-06-28,190.0,4,7,8,6,4
S00050,Arizona State U.,Computer Science,2025-08-21,2029-04-21,141,1,4,48,5,4,2,1,8,2,1,General Electric,2028-09-15,1,Google,2029-08-09,110.0,10,6,5,6,7
S00051,Penn State,Computer Science,2024-03-23,2027-06-26,140,1,4,32,5,3,3,1,11,5,1,EY,2027-03-11,1,Pfizer,2027-08-29,64.0,1,5,5,5,9
S00052,Ohio State,Computer Science,2025-02-17,2028-04-18,150,1,2,37,2,2,2,1,5,3,1,Apple,2027-08-27,1,EY,2028-06-07,50.0,6,12,5,6,8
S00053,UCLA,Computer Science,2025-03-05,2029-02-03,127,1,3,30,4,3,2,1,8,4,1,EY,2028-06-09,1,Tesla,2029-11-27,297.0,11,6,6,10,9
S00054,Michigan,Computer Science,2024-07-28,2028-07-04,157,1,0,30,5,3,2,1,7,0,1,Apple,2028-01-16,0,,,,5,7,5,5,13
S00055,Michigan,Computer Science,2025-02-09,2028-04-16,172,1,6,37,6,2,1,1,7,3,1,JPMorgan Chase,2027-11-02,1,General Electric,2028-10-24,191.0,5,11,5,9,10
S00056,UCLA,Computer Science,2024-01-10,2027-08-31,144,0,4,24,5,3,1,1,3,0,1,Microsoft,2027-01-09,0,,,,6,4,5,7,6
S00057,UCLA,Computer Science,2025-07-04,2028-10-20,124,1,6,43,4,1,2,1,7,5,1,Meta,2028-03-15,0,,,,7,5,9,6,4
S00058,UT Austin,Computer Science,2024-12-23,2028-01-27,166,1,3,26,6,2,1,1,7,3,0,,,1,Tesla,2028-06-30,155.0,4,7,4,4,7
S00059,Michigan,Computer Science,2024-06-10,2028-01-20,160,1,3,35,3,2,2,1,8,5,0,,,1,EY,2028-07-22,184.0,8,7,6,9,10
S00060,UCSD,Computer Science,2025-06-25,2028-06-28,137,1,3,31,4,4,1,1,6,3,0,,,0,,,,5,7,4,8,4
S00061,UCSD,Computer Science,2025-07-21,2028-12-20,157,1,3,41,2,3,3,1,3,2,1,General Electric,2028-08-26,1,Meta,2029-03-28,98.0,10,4,6,9,6
S00062,UCLA,Computer Science,2024-04-19,2028-01-27,146,1,1,34,3,3,3,1,11,6,1,Meta,2027-09-20,1,EY,2028-07-19,174.0,11,5,5,8,7
S00063,Ohio State,Computer Science,2024-12-17,2028-03-30,152,1,3,25,5,5,2,1,7,6,1,Deloitte,2027-10-25,1,Meta,2029-01-04,280.0,3,7,6,8,4
S00064,Arizona State U.,Computer Science,2024-04-04,2028-02-22,150,1,2,36,3,2,2,1,4,4,1,Cisco,2027-08-08,1,Google,2028-08-11,171.0,8,9,9,8,7
S00065,Arizona State U.,Computer Science,2024-12-07,2028-02-11,142,1,2,38,5,2,3,1,7,3,1,Amazon,2027-09-07,1,Deloitte,2028-10-24,256.0,4,6,2,7,5
S00066,Boston University,Computer Science,2025-03-13,2028-12-24,154,1,2,31,6,4,2,1,5,3,1,Microsoft,2028-09-23,1,General Electric,2029-03-02,68.0,6,6,4,3,9
S00067,Boston University,Computer Science,2024-06-01,2028-03-06,140,1,1,35,3,4,1,1,5,2,1,Cisco,2027-11-28,1,EY,2028-10-11,219.0,6,7,4,6,11
S00068,Penn State,Computer Science,2024-05-31,2028-01-06,138,1,2,32,2,4,3,1,8,4,0,,,1,Google,2028-04-10,95.0,6,7,8,5,7
S00069,Michigan,Computer Science,2025-01-08,2028-01-28,162,1,4,28,3,3,3,1,7,2,0,,,1,Apple,2028-08-28,213.0,8,5,4,6,13
S00070,UCSD,Computer Science,2024-09-12,2028-08-18,154,1,1,40,4,4,1,1,3,2,1,Tesla,2028-04-24,1,EY,2029-04-13,238.0,7,6,2,6,4
S00071,Boston University,Computer Science,2024-06-07,2027-10-06,135,1,1,38,4,0,2,0,2,0,1,Intel,2027-05-28,1,General Electric,2028-02-03,120.0,4,8,9,9,8
S00072,NYU,Computer Science,2024-01-26,2027-04-26,145,1,4,34,4,1,2,1,2,0,1,Intel,2026-11-02,1,Intel,2027-12-22,240.0,9,3,5,7,9
S00073,UCSD,Computer Science,2024-09-11,2028-01-25,137,1,2,36,3,3,1,1,3,1,1,Intel,2027-09-17,1,Goldman Sachs,2028-04-19,85.0,5,8,7,13,7
S00074,Arizona State U.,Computer Science,2025-04-26,2028-08-16,155,1,2,33,4,1,1,1,2,2,1,Cisco,2028-03-28,1,Tesla,2029-05-08,265.0,12,7,11,6,9
S00075,Michigan,Computer Science,2024-08-21,2027-12-13,164,1,3,33,5,5,1,1,5,2,0,,,1,Pfizer,2028-01-24,42.0,7,8,10,5,0
S00076,Ohio State,Computer Science,2025-02-12,2028-07-29,170,1,1,24,3,3,3,1,6,5,0,,,1,Cisco,2029-01-17,172.0,2,8,12,2,3
S00077,UCLA,Computer Science,2024-10-12,2028-04-08,143,1,1,36,2,2,0,1,2,1,1,Goldman Sachs,2027-09-01,1,Google,2028-10-24,199.0,5,8,8,6,7
S00078,UCLA,Computer Science,2024-09-24,2027-12-24,130,1,0,49,4,4,2,1,7,5,1,Meta,2027-04-30,0,,,,8,5,8,6,5
S00079,Arizona State U.,Computer Science,2024-04-21,2028-02-20,129,1,2,35,4,3,3,1,8,3,1,Tesla,2027-08-03,0,,,,6,12,10,9,12
S00080,Boston University,Computer Science,2024-11-17,2028-06-27,148,1,0,30,3,3,3,1,9,3,1,Microsoft,2027-11-20,1,General Electric,2029-02-09,227.0,10,6,9,4,11
S00081,Purdue,Computer Science,2024-07-13,2027-11-20,156,1,3,29,6,2,1,1,7,4,1,Johnson & Johnson,2027-08-11,0,,,,4,7,6,2,5
S00082,NYU,Computer Science,2024-01-02,2027-09-24,147,1,3,26,4,3,2,1,11,3,1,Pfizer,2027-02-09,1,Tesla,2028-02-01,130.0,8,4,11,8,4
S00083,NYU,Computer Science,2024-03-12,2028-02-15,139,1,3,25,4,4,2,1,13,9,1,EY,2027-08-25,1,Pfizer,2028-08-23,190.0,11,7,5,9,8
S00084,UCLA,Computer Science,2024-11-03,2028-07-19,153,1,5,42,4,3,1,1,5,1,1,Pfizer,2028-02-01,1,Tesla,2029-03-15,239.0,5,8,6,4,5
S00085,NYU,Computer Science,2025-12-14,2029-05-13,161,1,4,43,5,1,0,1,4,3,1,Amazon,2028-09-24,0,,,,3,5,6,5,9
S00086,Ohio State,Computer Science,2025-03-06,2029-02-08,150,1,5,40,5,1,1,1,7,5,1,Pfizer,2028-08-05,1,EY,2029-06-07,119.0,5,7,11,5,6
S00087,Purdue,Computer Science,2024-11-04,2028-05-29,148,0,4,38,6,4,2,1,4,0,1,Cisco,2027-10-12,1,Meta,2028-06-28,30.0,6,9,9,4,12
S00088,Michigan,Computer Science,2024-08-03,2028-03-10,159,1,4,37,4,1,2,1,4,3,0,,,0,,,,9,4,6,5,6
S00089,Purdue,Computer Science,2025-09-13,2029-08-13,141,1,5,39,3,4,2,1,6,2,1,JPMorgan Chase,2029-02-22,1,JPMorgan Chase,2030-04-26,256.0,6,8,8,4,9
S00090,UCSD,Computer Science,2024-08-06,2028-04-23,140,1,4,42,4,4,0,1,4,3,1,Intel,2027-09-25,1,Pfizer,2028-08-17,116.0,2,6,8,11,7
S00091,UCLA,Computer Science,2024-10-17,2028-07-06,153,1,1,35,4,3,2,1,6,2,1,Microsoft,2028-01-13,1,Pfizer,2028-12-03,150.0,8,9,3,4,6
S00092,Michigan,Computer Science,2024-08-18,2027-11-27,156,1,3,34,6,4,2,1,12,6,1,Google,2027-07-23,1,Apple,2028-01-19,53.0,8,6,8,5,10
S00093,Florida,Computer Science,2025-09-17,2028-10-23,131,1,1,37,3,4,2,1,9,5,1,Goldman Sachs,2028-03-31,0,,,,10,3,9,2,4
S00094,UCSD,Computer Science,2025-08-12,2028-11-18,158,1,3,30,3,3,3,1,7,0,1,JPMorgan Chase,2028-05-14,1,Apple,2029-07-10,234.0,9,8,8,6,9
S00095,UT Austin,Computer Science,2025-11-02,2029-10-19,144,0,3,30,3,2,2,1,1,0,1,General Electric,2029-07-20,1,Intel,2030-01-11,84.0,5,11,8,5,4
S00096,NYU,Computer Science,2024-08-12,2027-11-10,163,1,2,38,4,3,3,1,7,6,1,JPMorgan Chase,2027-04-02,1,Deloitte,2028-01-04,55.0,9,5,7,7,8
S00097,Ohio State,Computer Science,2024-05-04,2027-12-23,178,1,6,32,2,4,2,1,5,3,1,Intel,2027-08-21,1,Pfizer,2028-09-15,267.0,8,5,7,7,7
S00098,Penn State,Computer Science,2025-07-26,2029-05-25,157,0,2,27,5,3,3,1,6,6,1,Intel,2028-12-05,1,EY,2030-02-05,256.0,9,6,4,6,4
S00099,Boston University,Computer Science,2025-05-31,2029-01-03,154,1,3,29,3,4,1,1,7,5,1,JPMorgan Chase,2028-05-18,1,Johnson & Johnson,2029-04-24,111.0,7,4,7,6,14
S00100,Florida,Computer Science,2025-04-05,2028-08-14,151,1,4,34,5,4,0,1,8,4,0,,,1,Cisco,2029-01-17,156.0,7,8,11,8,8
S00101,UCSD,Computer Science,2024-10-10,2028-07-02,173,1,1,37,2,4,2,1,2,1,1,Pfizer,2027-12-01,1,Meta,2028-12-01,152.0,5,6,5,9,8
S00102,Florida,Computer Science,2024-03-20,2028-03-19,139,1,5,30,5,4,4,1,9,5,1,Apple,2027-10-08,0,,,,7,6,8,12,4
S00103,Michigan,Computer Science,2024-12-09,2028-05-20,158,1,3,36,5,3,2,1,4,0,1,Microsoft,2027-10-05,1,Amazon,2028-08-28,100.0,6,9,3,9,4
S00104,Ohio State,Computer Science,2025-01-27,2029-01-16,129,1,3,42,3,3,2,1,6,4,1,Johnson & Johnson,2028-09-09,1,Microsoft,2029-06-04,139.0,4,5,9,5,5
S00105,NYU,Computer Science,2025-02-21,2028-08-08,179,1,2,32,2,4,3,1,1,0,1,JPMorgan Chase,2027-12-24,1,Google,2029-04-07,242.0,9,5,8,6,6
S00106,Ohio State,Computer Science,2025-03-06,2028-09-20,158,1,2,33,2,5,2,1,8,4,1,Johnson & Johnson,2028-01-25,0,,,,8,8,5,8,4
S00107,Arizona State U.,Computer Science,2025-08-12,2029-02-21,165,1,3,43,3,1,1,1,7,2,1,Google,2028-07-24,1,Meta,2029-09-19,210.0,10,7,6,7,3
S00108,NYU,Computer Science,2025-03-05,2028-12-04,174,1,5,31,4,2,2,1,0,0,1,Intel,2028-04-19,1,JPMorgan Chase,2029-04-25,142.0,5,9,6,12,6
S00109,Ohio State,Computer Science,2024-10-06,2028-05-16,132,1,4,32,4,5,2,1,12,4,1,Google,2027-10-15,1,Tesla,2028-12-31,229.0,8,4,7,8,7
S00110,UCSD,Computer Science,2025-11-26,2029-06-20,154,1,2,40,3,2,3,1,6,3,1,Cisco,2029-02-08,0,,,,5,4,6,5,6
S00111,Florida,Computer Science,2024-05-10,2028-03-23,152,1,4,26,2,3,2,1,5,2,1,Google,2027-08-10,1,EY,2028-11-09,231.0,5,11,6,7,8
S00112,Purdue,Computer Science,2025-11-09,2028-11-21,177,1,2,32,6,4,3,1,3,2,1,Pfizer,2028-08-02,1,Amazon,2029-07-28,249.0,6,10,8,9,9
S00113,Florida,Computer Science,2024-07-05,2027-07-30,176,1,3,35,4,2,4,1,5,2,1,Goldman Sachs,2027-02-24,1,Apple,2028-02-12,197.0,6,4,6,5,10
S00114,Florida,Computer Science,2024-11-30,2028-05-20,157,1,3,35,3,2,1,1,5,2,1,Meta,2027-11-15,1,Meta,2029-01-20,245.0,9,10,9,9,9
S00115,UCLA,Computer Science,2025-04-26,2028-05-04,154,1,3,27,3,3,1,1,6,4,1,Google,2027-09-19,1,Apple,2028-11-29,209.0,9,6,7,6,10
S00116,UCSD,Computer Science,2024-03-11,2028-02-07,148,1,1,41,4,2,1,1,5,3,1,Intel,2027-10-30,1,Apple,2028-03-23,45.0,5,8,5,6,7
S00117,Ohio State,Computer Science,2024-01-21,2027-12-04,145,0,0,38,2,6,2,1,8,5,1,Apple,2027-07-28,1,JPMorgan Chase,2028-03-07,94.0,9,7,13,6,5
S00118,UCSD,Computer Science,2024-04-27,2028-02-09,157,1,4,41,4,3,2,1,4,2,1,JPMorgan Chase,2027-09-17,1,Intel,2028-07-19,161.0,8,6,6,6,4
S00119,Georgia Tech,Computer Science,2024-06-20,2028-04-25,134,1,2,39,5,1,2,1,7,5,1,Intel,2027-12-28,1,Meta,2028-08-16,113.0,9,5,8,8,6
S00120,UCLA,Computer Science,2025-08-15,2028-08-27,134,0,6,26,3,2,3,1,3,2,1,EY,2028-03-11,1,Goldman Sachs,2029-04-06,222.0,7,8,4,10,10
S00121,Boston University,Computer Science,2024-07-22,2027-08-29,163,1,3,28,4,3,3,1,1,1,1,Microsoft,2027-03-30,1,Cisco,2028-02-29,184.0,8,4,8,6,11
S00122,UCSD,Computer Science,2025-09-06,2028-11-05,169,1,4,32,5,1,2,1,5,3,1,Intel,2028-03-16,1,Tesla,2028-12-26,51.0,8,6,11,5,7
S00123,Penn State,Computer Science,2025-03-14,2029-02-14,153,1,3,38,6,3,3,1,4,0,1,Microsoft,2028-08-14,0,,,,5,7,0,6,7
S00124,Penn State,Computer Science,2025-10-25,2029-04-16,143,1,2,30,4,4,2,1,8,5,1,Cisco,2029-01-13,1,Cisco,2029-12-17,245.0,5,7,7,3,4
S00125,Florida,Computer Science,2024-04-18,2027-11-25,143,1,3,30,4,2,2,1,8,3,0,,,1,Pfizer,2028-06-27,215.0,4,9,6,8,3
S00126,Florida,Computer Science,2025-12-25,2029-03-12,154,0,2,44,2,5,2,1,3,2,1,Amazon,2028-08-23,0,,,,5,9,6,7,5
S00127,Boston University,Computer Science,2025-06-18,2029-05-16,158,1,5,41,2,4,2,1,7,4,1,EY,2028-12-08,1,JPMorgan Chase,2030-02-17,277.0,6,7,4,7,8
S00128,NYU,Computer Science,2025-08-29,2029-01-12,148,1,4,31,4,3,2,1,6,1,1,Cisco,2028-07-24,1,Cisco,2029-06-16,155.0,7,11,7,8,4
S00129,UCLA,Computer Science,2024-10-12,2028-05-29,166,1,4,32,7,2,1,1,4,3,1,Intel,2027-12-29,1,EY,2029-02-20,267.0,10,7,9,7,10
S00130,Purdue,Computer Science,2025-11-15,2029-05-27,137,1,2,31,5,3,2,1,9,6,1,Google,2028-12-02,1,Cisco,2030-03-06,283.0,5,8,8,9,3
S00131,Georgia Tech,Computer Science,2024-07-05,2028-03-10,136,0,1,35,4,4,1,1,5,4,1,Tesla,2027-10-18,0,,,,4,4,8,5,7
S00132,Michigan,Computer Science,2024-12-14,2028-05-05,157,1,3,33,3,2,3,1,6,3,1,Deloitte,2027-11-27,1,Deloitte,2028-06-09,35.0,6,6,5,6,4
S00133,Ohio State,Computer Science,2024-03-28,2027-07-29,150,1,1,37,3,4,1,1,2,1,1,JPMorgan Chase,2027-01-16,1,Johnson & Johnson,2027-12-29,153.0,4,8,8,12,5
S00134,Florida,Computer Science,2025-10-23,2029-10-21,165,1,2,22,5,3,2,1,7,5,1,JPMorgan Chase,2029-03-20,1,Microsoft,2029-11-28,38.0,7,8,13,2,7
S00135,Michigan,Computer Science,2024-08-14,2028-03-08,152,1,2,31,4,3,1,1,4,2,1,Meta,2027-10-08,1,JPMorgan Chase,2028-10-12,218.0,7,8,11,6,4
S00136,Penn State,Computer Science,2025-06-27,2028-12-19,172,1,2,30,4,3,2,1,8,5,1,Johnson & Johnson,2028-06-04,0,,,,2,8,9,8,10
S00137,Penn State,Computer Science,2024-12-04,2028-06-01,162,1,2,38,6,2,2,1,12,7,1,Meta,2027-11-08,1,Meta,2028-12-04,186.0,5,11,11,9,4
S00138,Ohio State,Computer Science,2024-05-03,2027-08-09,137,1,0,37,3,2,3,1,3,2,1,Microsoft,2027-02-20,1,Apple,2027-12-11,124.0,9,5,6,6,7
S00139,Ohio State,Computer Science,2025-05-10,2028-09-27,125,1,3,41,2,4,1,1,3,1,1,Intel,2028-01-31,1,EY,2029-07-22,298.0,10,8,12,5,5
S00140,Michigan,Computer Science,2024-04-12,2027-07-20,153,1,1,35,5,2,2,1,6,3,1,Apple,2027-02-05,1,Amazon,2028-02-19,214.0,7,7,8,5,6
S00141,Michigan,Computer Science,2024-01-15,2028-01-11,160,1,5,27,5,3,3,1,7,6,1,Amazon,2027-05-30,1,Google,2028-06-29,170.0,9,8,7,4,7
S00142,Arizona State U.,Computer Science,2025-07-20,2028-12-15,147,1,2,38,3,3,1,1,4,3,1,Pfizer,2028-08-15,1,Microsoft,2029-09-22,281.0,8,5,13,7,7
S00143,Arizona State U.,Computer Science,2025-08-10,2029-01-01,139,1,2,44,4,1,3,1,9,4,1,JPMorgan Chase,2028-06-05,1,Tesla,2029-09-13,255.0,7,6,6,6,9
S00144,UT Austin,Computer Science,2024-02-22,2027-06-30,150,0,3,39,4,1,3,1,6,5,1,Microsoft,2026-11-30,1,Goldman Sachs,2027-09-01,63.0,4,8,9,5,7
S00145,Florida,Computer Science,2024-03-16,2028-01-05,153,1,2,45,3,5,0,1,3,1,1,Amazon,2027-09-24,1,Intel,2028-04-20,106.0,9,7,6,8,14
S00146,Purdue,Computer Science,2024-11-07,2027-12-20,156,1,5,39,4,4,1,1,9,5,1,Microsoft,2027-07-20,1,EY,2028-08-19,243.0,6,12,4,4,3
S00147,Purdue,Computer Science,2025-09-25,2029-01-17,133,1,2,44,5,5,2,1,10,6,1,Goldman Sachs,2028-06-08,1,General Electric,2029-10-04,260.0,7,11,3,9,5
S00148,Florida,Computer Science,2024-10-31,2028-08-27,140,1,2,38,5,2,1,1,5,2,1,Meta,2028-02-10,1,EY,2028-10-26,60.0,3,9,12,6,8
S00149,Boston University,Computer Science,2024-04-11,2027-07-26,139,1,4,32,5,4,3,1,10,1,1,Meta,2027-03-04,0,,,,6,9,7,7,11
S00150,UCSD,Computer Science,2024-03-24,2027-06-12,158,1,0,34,4,4,1,1,5,3,1,Amazon,2027-01-12,1,Amazon,2027-08-19,68.0,5,13,6,5,6
S00151,Arizona State U.,Computer Science,2025-02-22,2028-10-09,135,1,4,38,4,5,0,1,10,6,1,Meta,2028-03-13,1,Apple,2028-11-24,46.0,3,3,7,8,6
S00152,Michigan,Computer Science,2025-12-24,2029-05-16,149,1,4,24,4,4,2,1,6,4,1,Microsoft,2028-10-22,1,General Electric,2029-10-12,149.0,3,9,8,6,5
